Fonds;"Immobilie
Numer";"Immobilie
Bezeichnung";GARBE Niederlassung;;Mieteinheit;Art;Stockwerk;Anzahl Stellplätze;Fläche;;Lease ID;Mietername;Mietbeginn;vereinbartes Vertragsende;Vertragsende (Kündigung);tatsächliches Vertragsende;Sonderkündigung Frist;Sonderkündigung zum;Kündigung Frist;Kündigung zum;Laufzeit Option;Frist Optionsziehung;MV-Ende nach Optionsziehung;Anzahl weiterer Optionen;maximale Mietlaufzeit;WAULT;WAULB;WAULE;;Jahresnettomiete;Nettomiete;Investitionsmiete;Ende mietfreie Zeit;Betrag mietfreie Zeit;Marktmiete;AM-ERV;Potenzial;Nettomiete;Marktmiete;AM-ERV;;NKVZ;NK-Pauschale;NKVZ;NK-Pauschale;Gesamtnettomiete;Gesamtnettomiete;Mieter UST-pflichtig;;proz. Mieterhöhung;Erhöhungs-Prozentsatz;nächste Erhöhung;Erhöhungszyklen;;Indexmieterhöhung;Wertsicherung Art;Schwellwert;Datum;Weitergabe;Green Lease
;;;;;;;;Stück;m²;;;;;;;;;;;;Monate;;;;;Jahre;Jahre;Jahre;;€/Jahr;€/Mt;€/Mt;;€/Mt;€/Mt;€/Mt;%;€/m²/a;€/m²/a;€/m²/a;;€/Mt;€/Mt;€/m²/a;€/m²/a;€/Mt;€/m²/a;;;;;;;;;;;;%;
GLIFPLUSII;1004;Flieden;Frankfurt;;50001;Stellplätze;EG;10;;;1004.00001;Friedrich Zufall GmbH & Co. KG;23.12.2020;11.01.2031;;11.01.2031;;;;;36;11.01.2030;11.01.2034;2;11.01.2040;;;;;;;;;;;0;-100.0%;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
GLIFPLUSII;1004;Flieden;Frankfurt;;90001;Freifläche ;EG;;1'050;;1004.00001;Friedrich Zufall GmbH & Co. KG;23.12.2020;11.01.2031;;11.01.2031;;;;;36;11.01.2030;11.01.2034;2;11.01.2040;4.72;;;;15'671;1'306;;;;1'271;1'092;-2.7%;14.93;14.52;12.48;;0;13;0.00;0.15;1'319;15.07;1;;false;;;;;true;Datum;;01.09.2026;100%;0
GLIFPLUSII;1004;Flieden;Frankfurt;;90002;Sonstige;EG;;;;1004.00002;PACE Photovoltaik 1 GmbH;23.12.2020;31.12.2041;;31.12.2041;;;;;;;;0;;15.69;;;;2'100;175;;;;;175;-100.0%;;;;;;;;;175;;1;;false;;;;;true;;;;;0
1004 - Flieden, Am Landrücken 14;;;;;;;;138;46'268;;;;;;;;;;;;;;;;;4.73;;;;2'379'388;198'282;;;;236'626;164'793;19.3%;51.43;61.37;42.74;;31'105;1'981;8.07;0.51;231'368;60.01;100.00%;;;;;;;;;;;;
GLIFPLUSII;1005;Karlsfeld;Frankfurt;;14000;Halle;EG;;1'435;;1005.00003;Busverkehr Südbayern GmbH;01.01.2019;31.12.2031;;31.12.2031;;;;;48;30.06.2031;31.12.2035;2;31.12.2041;5.69;;;;99'600;8'300;;;;8'294;8'300;-0.1%;69.41;69.36;69.41;;5'855;;48.96;;14'155;118.37;1;;false;;;;;true;;;;100%;0
GLIFPLUSII;1005;Karlsfeld;Frankfurt;;20001;Büro;1. UG;;113;;1005.00003;Busverkehr Südbayern GmbH;01.01.2019;31.12.2031;;31.12.2031;;;;;48;30.06.2031;31.12.2035;2;31.12.2041;5.69;;;;13'560;1'130;;;;1'130;1'130;0.0%;120.00;120.00;120.00;;461;;48.96;;1'591;168.96;1;;false;;;;;true;;;;100%;0
GLIFPLUSII;1005;Karlsfeld;Frankfurt;;20301;Büro;3. OG;;184;;1005.00003;Busverkehr Südbayern GmbH;01.01.2019;31.12.2031;;31.12.2031;;;;;48;30.06.2031;31.12.2035;2;31.12.2041;5.69;;;;22'080;1'840;;;;1'840;1'840;0.0%;120.00;120.00;120.00;;751;;48.96;;2'591;168.96;1;;false;;;;;true;;;;100%;0
GLIFPLUSII;1005;Karlsfeld;Frankfurt;;50003;Stellplätze;EG;6;;;1005.00003;Busverkehr Südbayern GmbH;01.01.2019;31.12.2031;;31.12.2031;;;;;48;30.06.2031;31.12.2035;2;31.12.2041;5.69;;;;1'080;90;;;;90;90;0.0%;;;;;0;;;;90;;1;;false;;;;;true;;;;100%;0
GLIFPLUSII;1005;Karlsfeld;Frankfurt;;90002;Freifläche ;EG;;2'700;;1005.00003;Busverkehr Südbayern GmbH;01.01.2019;31.12.2031;;31.12.2031;;;;;48;30.06.2031;31.12.2035;2;31.12.2041;;;;;;;;;;1'350;0;-100.0%;;6.00;0.00;;0;;0.00;;0;0.00;1;;false;;;;;true;;;;;0
GLIFPLUSII;1005;Karlsfeld;Frankfurt;;50004;Stellplätze;EG;20;;;1005.L0001;LEERSTAND;01.01.2023;;;;;;;;;;;0;;;;;;;;;;;500;0;-100.0%;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
